Tavola Rotonda – Scuola,sat-roundtable-1,"Tavola rotonda sulla scuola libera: competenze digitali, software e contenuti liberi nell'istruzione e nella formazione superiore",
Tavola Rotonda – Comunicazione,sat-roundtable-2,"Tavola rotonda sui canali di comunicazione interni delle comunità".
Tavola Rotonda – Giovani,sat-roundtable-3,Tavola rotonda sulla partecipazione dei giovani ai progetti di software e contenuti liberi,
Tavola Rotonda – Impresa + Community,fri-roundtable-1,"Partecipano: Ilaria Battiston (ITPUG), Stefano Pampaloni (RIOS), Paolo Storti (Zextras), Francesco Trecate (Edulife SpA). Modera: Cosetta Masi."
Tavola Rotonda – Impresa + PA,fri-roundtable-2,"Partecipano: Valentina del Prete (RIOS), Mauro Minenna (ACI Informatica), Emiliano Sergio Verga (CEFRIEL) un referente Comune di Verona. Modera: Sonia Montegiove."
Tavola Rotonda – Impresa + Impresa,fri-roundtable-3,"Partecipano: Alessandro Bolgia (IT Service NET - RIOS), Alessio Fattorini (Nethesis), Roberto Palazzetti (ETH). Modera: Cosetta Masi."
Cittadinanze digitali per una nuova ecologia umana 2050,cittadella,"Le cittadinanze attiva, digitale e nelle economie per il bene comune, pongono l’umano di fronte alla sfida per una interpretazione autentica riguardo la magnificenza offerta dall’innovazione delle tecnologie digitali. La cultura dell’innovazione Open Source offre un abito mentale capace di generare una dimensione di senso umano, affinché lo scopo di aiutare l’umanità alla scoperta di nuove forme di sostenibilità, possa essere legato ai progetti di vita di ogni singola persona. Sarà cura del relatore offrire una visione positiva riguardo l’adozione del digitale in tutti gli ambiti dove l’umano può essere sostituito.",Antonello Vedovato - Fondatore e Presidente della Fondazione Edulife ETS
"Openstamanager, un gestionale Open Source italiano e la sua storia",openstamanager,"Da scadenzario di impianti idraulici a gestionale completo è un attimo. Racconteremo la storia di OpenSTAManager, un gestionale tutto italiano nato in garage, poi diffuso e diventato un lavoro vero, seguito a tempo pieno da una Srl di 6 persone e vari contributori occasionali. Il racconto di questo progetto può essere di ispirazione a chi vuole costruire uno stile di vita lavorativo rispettando le libertà digitali e sviluppando tutti i giorni software libero.",
Open Hospital: lo sviluppo che va oltre il codice,openhospital,"Open Hospital è un software libero utilizzato in decine di ospedali, per lo più in zone rurali dell'Africa. Vi raccontiamo come gestiamo il ciclo di sviluppo, coinvolgendo i giovani locali e generando nuove opportunità di lavoro per tutti.",
"OSA Space, spazi di lavoro e di studio open source",osa,"Gli studenti dell'ITS Academy LAST presentano Future Lab Academy e OSA Space progetti di l'innovazione sociale con il digitale finanziati da Fondazione Cariverona. Partner di progetto Fondazione Edulife, Comune di Verona, ITS Academy LAST, Verona Fablab, Penta Formazione e Faboci Srl.",
Benvenuti a MERGE-it 2023,welcome,,
I servizi ILS per le comunità italiane,servizi-ils,ILS esiste da anni ma non è più solo Linux. Un ombrello per tutto quello che riguarda l'open source nel nostro paese dai fablab agli hackerspace fino ai meetup. Per questo motivo offre dei servizi pubblici per tutti per fare rete e scoprire cosa c'è nello stivale isole comprese comodamente da casa.,Daniele Scasciafratte
OpenStreetMap per il territorio: la raccolta rifiuti speciali,trash,"Da un giornale online a Openstreetmap: breve ma intenso racconto di come mappare cose (utili). Ripercorreremo passo-passo il lavoro di mappatura raccoglitori di olio da cucina, i tentativi falliti di mappare tutti i raccoglitori rifiuti e la pubblicazione finale sulla mappa mondiale libera. L'impegno civico passa anche qui!",Fabio Lovato
The Apache Way,apache,"The Apache Way è un insieme di comportamenti e aspetti della comunità utilizzati con grande successo da molti anni in centinaia di progetti della Apache Software Foundation (ASF). Questi concetti possono aiutare qualsiasi gruppo distribuito di persone che lavorano su un lavoro facilmente condivisibile, come software o documentazione.",Giovanni Bechis
Come insegnare il terminale con GameShell,gameshell,,Daniele Scasciafratte
Laboratorio interrogazioni in SPARQL su Wikidata,sparql,,Valerio Bozzolan
Come correggere un errore di battitura su Wikipedia,wikitext,,Cristian Consonni
Come caricare foto su Wikimedia Commons,wikiphoto,,Cristian Consonni
I dati aperti sul PNRR,ondata,"Le informazioni sul Piano Nazionale di Ripresa e Resilienza (PNRR) e sulla sua gestione sono state fino a qualche giorno fa troppo poche. Per questo, insieme a una rete “monitorante” abbiamo creato un vademecum sui dati del PNRR per descrivere le principali banche dati correlate gestite dalla Pubblica Amministrazione italiana.",Andrea Borruso
"NethServer: dietro le quinte di un progetto open italiano, tra business e community",nethesis,"Distribuzione server per PMI e uso domestico, quasi 100k attivazioni in giro per il mondo, 8 anni di vita, NethServer è un ottimo case-study di un progetto Open Source creato da un’azienda italiana. Come viene gestito? Che tecnologie utilizza? Come è possibile contribuire? Vi racconterò il dietro le quinte di questo progetto e cosa stiamo facendo per farlo evolvere in una piattaforma per orchestrare in maniera molto semplice container su cloud pubblici e privati, infrastrutture on-premise e ibride.",Alessio Fattorini
Visual live-programming con VVVV,vvvv,,Sergio Zacco
Trasporto ferroviario e (un-)Open Data,transport,"In Italia non esistono Open Data sulle performance del trasporto pubblico ferroviario: le metriche (KPI) definite nei contratti di servizio tra gli enti locali committenti e le imprese ferroviarie sono incompleti e spesso inaccessibili. Il progetto che verrà presentanto si articola sull’idea di catturare e preservare i dati istantanei della circolazione ferroviaria dalla piattaforma ViaggiaTreno per produrre Open Data storici, machine-readable e di qualità. Inoltre, verranno proposti spunti di riflessione riguardo la legalità della distribuzione dei dati raccolti: il gruppo Ferrovie dello Stato, infatti, vieta ogni forma di trattamento dei dati della circolazione ferroviaria.",Marco Aceti
Sovranità digitale ed economia circolare a scuola ed a casa grazie a FUSS e SchoolSwap,fuss,18 anni fa l'introduzione di Linux e software libero nelle scuole della Provincia di Bolzano tramite il progetto FUSS ha permesso a studenti e docenti di usare a casa gli stessi strumenti software usati a scuola e di avvicinarli alle quattro libertà previste dal software libero. Per colmare una parte del divario digitale esistente è servito però un progetto di economia circolare come SchoolSwap per portare nelle famiglie uno strumento di lavoro sostenibile pronto all'uso.,
Minetest: mondi liberi a cubetti,minetest,"Minecraft è il videogioco più venduto della storia, con più di 200 milioni di copie vendute (senza contare le versioni craccate). Cosa succederebbe se questi mondi a cubetti diventassero liberi? Quanto potere si starebbe sottraendo a Microsoft, una compagnia che ha un'intera pagina su Wikipedia legata alle critiche verso l'azienda, e che da pochi mesi ha reso Minecraft un gioco centralizzato, con un sistema di terrore psicologico maoista sulle note di ""la gente ha una buona vista"" per le segnalazioni in chat? In un mondo che vede il fiorire di tecnologie rispettose dell'individuo (si pensi per esempio a Mastodon), Minetest ne prende parte cercando di porsi come risposta a tutto ciò.",Marco Amato
FSFE per l'Italia,fsfe,,Marta Andreoli
"Zorin OS è l'alternativa a Windows e macOS, sicuro e rispettoso della privacy",zorin,"Zorin OS è progettato per essere facile, quindi non è necessario imparare nulla per iniziare. Una speciale app ti consente di modificare il layout del desktop in modo che sembri l'ambiente con cui hai familiarità, che si tratti di Windows, macOS o Linux.",
Intelligenza Artificiale per potenziare la Pubblica Amministrazione,inps,,Vincenzo Di Nicola
"Come rendere il proprio progetto open source una bomba, creandogli una intera community intorno!",bomb,"Creare una community di sviluppatori ed utilizzatori intorno al proprio progetto è diventato ormai fondamentale. Persone appassionate che utilizzano il tuo progetto, forniscono feedback, documentazione e casi d'uso, trovano bug, suggeriscono feature e contribuiscono allo sviluppo: tutto questo crea innovazione, attira contributors ed allarga la base di utenti a dismisura. In questo talk spiegherò cercherò di condensare alcuni consigli tratti dalla mia esperienza di 8 anni nel community management: come gestire discussioni aperte, come fare le scelte migliori, come coinvolgere i primi appassionati. Consigli pronti per l'uso, cosa funziona e cosa no.",Alessio Fattorini
"QGIS, il software geografico libero per tutti. Stato dell'arte, sviluppi e applicazioni",qgis,,Federico Gianoli
Trovare ed utilizzare correttamente i dati geografici aperti della Pubblica Amministrazione,geopa,,Stefano Campus
